link,price,title
https://atlanta.craigslist.org/eat/cto/d/conyers-2007-subaru-wrx/6938716348.html,"$8,000 ",2007 subaru wrx
https://atlanta.craigslist.org/atl/cto/d/tucker-hyundai-elantra-2011/6938716186.html,"$4,500 ",Hyundai Elantra 2011
https://atlanta.craigslist.org/nat/cto/d/kennesaw-1-owner-clean-carfax/6938712665.html,"$6,990 ",1 OWNER!!! CLEAN CARFAX!! IMMACULATE!!! FLAWLESS!!
https://atlanta.craigslist.org/atl/cto/d/atlanta-2004-silver-nissan-xterra-4x4/6938712372.html,"$4,130 ",2004 Silver Nissan Xterra 4x4 SE S/C (Supercharged)
https://atlanta.craigslist.org/atl/cto/d/decatur-2009-bmw-535i-sports-package/6938710099.html,"$5,500 ",2009 BMW 535i sports package
https://atlanta.craigslist.org/atl/cto/d/douglasville-for-sale/6938709996.html,"$1,000 ",For Sale
https://atlanta.craigslist.org/nat/cto/d/kennesaw-86k-original-miles-runs-great/6938709989.html,"$1,795 ",86K ORIGINAL MILES. RUNS GREAT AND A/C BLOWS COLD
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2010-scion-tc-100k-miles/6938707842.html,"$6,500 ",2010 Scion Tc 100k miles Clean Carfax
https://atlanta.craigslist.org/atl/cto/d/atlanta-2007-mercedes-ml-350-4matic/6938707049.html,"$5,850 ",2007 Mercedes ML 350 4Matic fully loaded !Nice
https://atlanta.craigslist.org/nat/cto/d/kennesaw-52-service-records-must-see/6938702017.html,"$13,990 ",52 SERVICE RECORDS. MUST SEE! WON'T FIND ANOTHER ONE THIS NICE!
https://atlanta.craigslist.org/atl/cto/d/decatur-2002-mercedes-benz-s500/6938699571.html,"$3,500 ",2002  Mercedes Benz S500
https://atlanta.craigslist.org/eat/cto/d/norcross-2012-ford-e-passenger-driver/6938698094.html,"$17,999 ",2012 Ford E450 24-Passenger + Driver Bus (For Sale By Owner)
https://atlanta.craigslist.org/atl/cto/d/fayetteville-2011-honda-accord-ex/6938695246.html,"$2,000 ",2011 Honda Accord EX-L Leather Seats Sunroof
https://atlanta.craigslist.org/atl/cto/d/atlanta-2017-jeep-grand-cherokee-laredo/6938695205.html,"$24,000 ",2017 JEEP GRAND CHEROKEE LAREDO 2WD
https://atlanta.craigslist.org/eat/cto/d/lithonia-2010-dodge-caliber/6938693769.html,"$5,500 ",2010 Dodge Caliber
https://atlanta.craigslist.org/eat/cto/d/conyers-2004-toyota-sienna/6938689028.html,"$5,999 ",2004 Toyota Sienna
https://atlanta.craigslist.org/eat/cto/d/conyers-2005-lincoln-navigator/6938685566.html,"$7,757 ",2005 Lincoln Navigator
https://atlanta.craigslist.org/eat/cto/d/lithonia-2005-toyota-corolla/6938685449.html,"$2,100 ",2005 toyota corolla
https://atlanta.craigslist.org/atl/cto/d/smyrna-cadillac-xts-2015/6938685280.html,"$8,999 ",Cadillac XTS 2015
https://atlanta.craigslist.org/atl/cto/d/atlanta-toyota-sienna-2008-xle/6938683683.html,"$7,500 ",Toyota Sienna 2008 xle
https://atlanta.craigslist.org/atl/cto/d/atlanta-2010-audi-s5-v8-quattro/6938680051.html,"$8,500 ",2010 Audi S5 V8 Quattro
https://atlanta.craigslist.org/eat/cto/d/lithonia-2003-saturn-l200/6938678757.html,"$1,900 ",2003 saturn L200
https://atlanta.craigslist.org/wat/cto/d/austell-2001-dodge-dakota-quad-cab/6938677813.html,"$3,500 ",2001 Dodge Dakota Quad Cab
https://atlanta.craigslist.org/wat/cto/d/douglasville-2008-bmw-x5/6938676897.html,"$7,000 ",2008 BMW X5
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2008-chevy-impala-with/6938675678.html,"$3,800 ",2008 CHEVY IMPALA WITH 134K MILES NEW EMISSION & CARFAX IN HAND
https://atlanta.craigslist.org/eat/cto/d/conyers-2008-nissan-armada/6938675540.html,"$7,999 ",2008 Nissan Armada
https://atlanta.craigslist.org/atl/cto/d/norcross-2007-honda-pilot-134k-miles-in/6938673148.html,"$7,000 ",2007 Honda Pilot - 134k miles in PERFECT CONDITION!
https://atlanta.craigslist.org/atl/cto/d/hazlehurst-1987vw-cabriolet/6938671653.html,"$1,900 ",1987VW  Cabriolet
https://atlanta.craigslist.org/nat/cto/d/roswell-2007-honda-accord/6938671234.html,"$4,800 ",2007 Honda Accord
https://atlanta.craigslist.org/nat/cto/d/buford-2010-chevrolet-aveo-lt/6938665771.html,"$3,200 ",2010 Chevrolet Aveo LT
https://atlanta.craigslist.org/atl/cto/d/hampton-07-nissan-quest-mechanics-dream/6938663424.html,"$2,900 ",07 Nissan Quest mechanics dream
https://atlanta.craigslist.org/atl/cto/d/atlanta-04-jeep-liberty/6938660564.html,"$1,800 ",04 jeep liberty
https://atlanta.craigslist.org/sat/cto/d/riverdale-2001-toyota-camry-runs-and/6938656116.html,$1 ,2001 Toyota Camry **Runs and Drives!!!** 1000 OR BEST OFFER
https://atlanta.craigslist.org/eat/cto/d/stone-mountain-2015-toyota-tundra/6938655551.html,"$27,000 ",2015 Toyota tundra crewmax for sale
https://atlanta.craigslist.org/nat/cto/d/marietta-2003-dodge-sprinter-2500-van/6938654064.html,"$8,300 ",2003 Dodge Sprinter 2500 Van LOW Miles original
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2007-cadillac-escalade/6938653471.html,"$9,800 ",2007 Cadillac Escalade
https://atlanta.craigslist.org/nat/cto/d/dallas-2002-f250-lariat-4x4-73-diesel/6938649140.html,"$10,500 ",2002 f250 lariat 4x4 7.3 diesel
https://atlanta.craigslist.org/sat/cto/d/newnan-2007-f350-xl-miles-4wd/6938647615.html,"$17,000 ","2007 f350 xl 89,982 miles 4wd"
https://atlanta.craigslist.org/nat/cto/d/duluth-2003-ram-2500/6938647215.html,"$2,400 ",2003 ram 2500
https://atlanta.craigslist.org/sat/cto/d/stockbridge-2003-subaru-forester-25-xs/6938643469.html,$21 ,"2003 Subaru Forester 2.5 XS Automatic...ONLY $2,100!!"
https://atlanta.craigslist.org/nat/cto/d/roswell-2013-honda-cr-ex/6938642818.html,"$14,500 ",2013 Honda CR-V EX
https://atlanta.craigslist.org/atl/cto/d/atlanta-05-monte-carlo/6938637224.html,"$1,500 ",05 Monte carlo
https://atlanta.craigslist.org/nat/cto/d/gainesville-2009-honda-accord/6938636927.html,"$7,200 ",2009 Honda Accord
https://atlanta.craigslist.org/nat/cto/d/canton-2005-chrysler-300/6938636170.html,"$2,500 ",2005 Chrysler 300
https://atlanta.craigslist.org/nat/cto/d/marietta-2010-vw-cc-turbo-priced-to-sell/6938635369.html,"$4,500 ",2010 VW CC Turbo Priced to Sell
https://atlanta.craigslist.org/nat/cto/d/alpharetta-2012-subaru-wrx-limited/6938635150.html,"$18,200 ",2012 Subaru WRX Limited
https://atlanta.craigslist.org/nat/cto/d/suwanee-bmw-x5-runs-and-drives-great/6938632846.html,"$4,200 ",BMW X5 - runs and drives great cold A/C new emissions
https://atlanta.craigslist.org/atl/cto/d/atlanta-chevy-p30-box-truck/6938631744.html,"$12,500 ",Chevy P30 Box Truck
https://atlanta.craigslist.org/atl/cto/d/atlanta-2010-ford-mustang/6938631634.html,"$5,000 ",2010 Ford Mustang
https://atlanta.craigslist.org/nat/cto/d/suwanee-2013-acura-tl-shawd/6938629747.html,"$10,500 ",2013 ACURA TL SHAWD
https://atlanta.craigslist.org/sat/cto/d/riverdale-2004-f150-xl-supercab-ft-bed/6938627346.html,"$4,800 ",2004 F150 XL Supercab 6 1/2 ft bed
https://atlanta.craigslist.org/nat/cto/d/cumming-1992-buick-roadmaster-limited/6938623534.html,"$1,700 ",1992 Buick Roadmaster Limited 1owner 101K miles 5.7L V8
https://atlanta.craigslist.org/nat/cto/d/blue-ridge-2011-chevrolet-express-3500/6938623112.html,"$11,500 ",2011 Chevrolet Express 3500 Extended Passenger Van
https://atlanta.craigslist.org/atl/cto/d/lithonia-for-sale-2008-volvo-780/6938620961.html,"$23,999 ",FOR SALE 2008 Volvo 780
https://atlanta.craigslist.org/atl/cto/d/atlanta-2006-chrysler-pacifica/6938620343.html,"$3,100 ",2006 Chrysler Pacifica
https://atlanta.craigslist.org/atl/cto/d/hampton-1969-volkswagon-beetle-conv/6938619366.html,"$11,500 ",1969 Volkswagon Beetle Conv
https://atlanta.craigslist.org/wat/cto/d/douglasville-2000-chrysler-town-country/6938617337.html,"$1,500 ",2000 Chrysler Town & Country
https://atlanta.craigslist.org/nat/cto/d/alpharetta-2002-bmw-325i-e46-read-de-ion/6938615701.html,"$5,000 ",2002 BMW 325i E46 *READ DESCRIPTION*
https://atlanta.craigslist.org/atl/cto/d/woodstock-2002-chevy-s10-ls-5-speed/6938612108.html,"$4,200 ",2002 Chevy S10 LS 5-speed
https://atlanta.craigslist.org/nat/cto/d/duluth-2014-black-ford-fiesta-se/6938607386.html,"$5,495 ",2014 Black Ford Fiesta SE
https://atlanta.craigslist.org/atl/cto/d/duluth-2006-acura-tl-sedan/6938605783.html,"$3,600 ",2006 Acura TL sedan
https://atlanta.craigslist.org/atl/cto/d/newnan-2005-jeep-wrangler/6938604535.html,"$9,000 ",2005 Jeep Wrangler X
https://atlanta.craigslist.org/nat/cto/d/virginia-beach-06-mercedes-s600-v12/6938603393.html,"$11,700 ",06 MERCEDES S600 *V12 Twin Turbo-TOP LUXURY MODEL *100k* LIKE NEW!
https://atlanta.craigslist.org/atl/cto/d/alpharetta-2014-hyundai-accent-grey/6938602901.html,"$5,700 ",2014 Hyundai Accent Grey *** Super Clean Low Miles ***
https://atlanta.craigslist.org/atl/cto/d/marietta-2004-kia-sedona-ex-minivan/6938602487.html,"$3,800 ",2004 Kia Sedona EX minivan
https://atlanta.craigslist.org/atl/cto/d/jonesboro-2007-honda-accord-2450/6938596458.html,"$2,450 ",2007 Honda Accord $2450
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2009-chevrolet-express/6938596099.html,"$8,900 ",2009 Chevrolet Express 3500 Cutaway 12ft Box Truck Box Van 6.0L
https://atlanta.craigslist.org/atl/cto/d/atlanta-2005-chevy-trailblazer-miles/6938593907.html,"$5,500 ","2005 Chevy Trailblazer 111,833 miles"
https://atlanta.craigslist.org/nat/cto/d/cumming-2011-toyota-camry-4-brand-new/6938589341.html,"$5,700 ",2011 Toyota Camry 4 brand new tires automatic cold A/C gas saver
https://atlanta.craigslist.org/atl/cto/d/alpharetta-2013-hyundai-elantra-blue/6938588651.html,"$5,600 ",2013 Hyundai Elantra Blue *** Super Clean No problems ***
https://atlanta.craigslist.org/nat/cto/d/suwanee-2010-honda-odyssey/6938588255.html,"$7,000 ",2010 Honda Odyssey
https://atlanta.craigslist.org/nat/cto/d/tyro-1995-dodge-ram-x4-v10/6938587930.html,"$7,500 ",1995 Dodge Ram 2500 4x4 V10
https://atlanta.craigslist.org/atl/cto/d/cumming-toyota-solara/6938587877.html,"$3,600 ",Toyota solara
https://atlanta.craigslist.org/atl/cto/d/roswell-acura-rsx-type/6938586488.html,"$5,900 ",Acura Rsx Type S
https://atlanta.craigslist.org/sat/cto/d/lagrange-1995-honda-accord-ex/6938583581.html,"$1,450 ",1995 Honda Accord EX
https://atlanta.craigslist.org/nat/cto/d/alpharetta-2016-chevrolet-tahoe-ltz/6938583218.html,"$37,500 ",2016 Chevrolet Tahoe LTZ
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-1974-chevrolet-camaro-lt/6938579974.html,"$4,500 ",1974 Chevrolet Camaro LT
https://atlanta.craigslist.org/atl/cto/d/norcross-2004-cadillac-escalade/6938579255.html,"$6,500 ",2004 Cadillac Escalade
https://atlanta.craigslist.org/atl/cto/d/duluth-2005-toyota-camry/6938577444.html,"$3,300 ",2005 TOYOTA CAMRY
https://atlanta.craigslist.org/wat/cto/d/manchester-1952-jeep-m38a1/6938574644.html,"$18,000 ",1952 Jeep M38A1
https://atlanta.craigslist.org/atl/cto/d/roswell-2009-toyota-camry/6938564886.html,"$6,300 ",2009 Toyota Camry
https://atlanta.craigslist.org/atl/cto/d/atlanta-2011-ford-taurus-sel/6938564623.html,"$6,300 ",2011 Ford Taurus SEL
https://atlanta.craigslist.org/atl/cto/d/scottdale-mga-1956-roadster/6938563806.html,"$15,000 ",MGA  1956  roadster
https://atlanta.craigslist.org/sat/cto/d/mcdonough-2013-chrysler-200-v6/6938561819.html,"$8,500 ",2013 Chrysler 200 V6
https://atlanta.craigslist.org/nat/cto/d/cumming-1991-f150-4x4/6938560942.html,"$3,500 ",1991 F150 4x4
https://atlanta.craigslist.org/atl/cto/d/tyro-77-cj-5-golden-eagle/6938559786.html,"$14,500 ",77 CJ 5 Golden Eagle
https://atlanta.craigslist.org/atl/cto/d/duluth-2010-ford-f150-xlt-crew-cab-2wd/6938559240.html,"$8,500 ",2010 Ford F150 xlt crew cab 2wd
