id,saleprice
577,217614.80035682375
2812,196252.37902318194
2080,162151.76811568803
1368,112841.07310423403
2376,123489.21039693136
659,110379.90001878196
1235,131259.23879906457
332,90389.18722594924
1917,145451.80062409776
2094,257520.54512491653
1460,261356.26814423632
1471,212279.00747062385
1509,131650.09012346633
1922,137563.49130925682
433,586844.402850454
460,239611.16497010953
1116,233881.89014252395
1137,159416.99611220194
53,165396.87924958416
2354,263864.5725471702
1475,197232.9744064423
1761,844424.4835706147
842,138682.9490395364
2739,174969.05862391432
2509,143521.12176897947
1007,200709.05356027634
2610,183615.05561082144
1952,90307.41715528155
2719,166884.7528505112
2921,94479.50407560755
1966,146902.42405503307
292,106908.3927309747
1204,184299.43849759523
1829,252810.05621770656
2419,189801.35950744164
391,147008.36600492132
798,114828.64587395148
481,199381.0018579227
193,196659.5272033188
555,120083.583628884
899,74708.96272746567
2357,191472.7078695753
328,129951.46707267521
1356,115380.37987790086
1154,108648.43047987827
1730,175582.12562595677
2249,156381.06711030955
1119,276596.3510374686
2856,132173.63350555906
1394,126637.12296616935
2587,115574.6877863001
61,323483.5508607799
2661,184522.1780541844
2711,136597.81299578794
1147,181027.11571123105
757,134399.74632019055
2623,102596.49164623793
2378,138258.63930357894
1413,140374.6795828378
1722,211203.15677791167
1112,207267.2848851151
1623,193374.13128660058
1201,181900.81941830742
1513,122464.35425116486
957,555732.2159476792
1171,256353.5874453673
1145,197658.28207667617
2726,223599.1010510454
703,155541.03735378705
760,90116.46542781111
1964,152045.5399740537
2512,174807.36547502715
159,137847.7093563499
1281,161167.0840361085
468,176952.76236436065
290,126033.37890264094
665,93919.84647393701
1463,254754.0569383047
1792,208922.8831704456
923,147519.72067093384
500,253217.59441785095
1408,183978.23226035066
331,92455.35422629517
170,121447.7363455276
2192,102487.09223950707
2571,348080.48384317546
2314,171209.37627857534
2647,91689.58393103817
422,454356.1607814028
2457,377691.6723863387
1838,196927.97307123497
2805,253814.66237295282
1645,150398.71817659802
1711,271130.97954612796
2825,252458.5430887762
322,343598.09007509175
2103,260424.99401338404
342,118053.89440443441
600,117753.58354760363
488,178156.14400671847
1725,302339.1541478283
2246,292981.55211985635
2847,161292.29266178506
806,245927.89662798052
530,220016.27206243444
963,187053.4686122377
2678,92017.81790075048
171,84600.00997598037
2401,459098.4524563364
805,225638.7905758608
2259,218755.46211798306
1748,185536.0977760643
1361,135879.5484112516
1677,115451.1721880606
1406,158063.5954387596
2322,252952.94918350354
688,146780.92576738764
143,140500.34853257582
804,207098.7789773076
1214,155975.75809294122
2828,151057.24703885653
1999,198268.66377957194
2467,193646.3172392983
2665,144201.64704598644
1538,377617.87759166886
398,114142.85591908458
2822,144683.92613629176
2157,144393.57874899355
1856,191283.24207585413
1269,101934.15267036523
2570,116105.9057961382
2320,234648.581492962
1517,126573.76055865626
2304,125429.95899390147
1312,107999.21578322952
2012,134476.16594404005
506,234927.27212622002
2865,199546.85697002744
2367,102284.91126284133
554,79786.65141826615
238,135221.99345775633
1954,118349.35236437822
2488,131419.56299511399
2291,87885.35396460569
1969,110584.47889577122
2725,152486.76734475762
1482,148407.62173442377
2763,192203.1538979425
503,242541.62406636693
1584,248605.73324286865
1531,133999.61667964078
2210,160039.6365371798
459,333301.9834392966
556,123760.01967289239
1347,126686.07710967664
1290,89918.71791473715
1388,100552.1007022067
1571,323529.1655003399
2754,200646.89843979632
765,134729.55060294052
2494,129314.26085791021
2870,214749.0553502455
7,199840.27676955238
1114,236948.6836648454
2418,281167.712528362
291,126644.39876160558
18,336217.24320192455
39,390337.7482900777
1001,243309.5038167664
2442,229227.3417337447
616,116383.55799482176
2680,70069.38921435199
1414,134419.1825976226
289,149864.31852297555
40,239980.84836883246
860,120973.80572619513
409,135702.55257468985
673,154143.61211877005
2427,178932.94353907046
2036,228265.74164925434
2564,138071.17095857675
642,153158.81785116662
1008,180560.56168770936
1908,126267.83088691148
2519,180494.81005950583
1369,94098.25250667601
2855,156701.7097912033
712,106786.77801263535
1943,109187.45517505387
1958,117453.3528812997
107,153958.97292668466
2295,178808.71784645546
704,93075.4298168955
676,134343.58281962067
259,179992.68240424214
93,286437.3694085799
106,239841.9270734536
2315,177033.8895817856
1050,111064.85113942473
1095,204578.89489718262
2709,142846.0260992495
758,123354.78931368914
1496,156383.73843174533
2370,124715.24180491922
2458,287231.77195575257
2733,135908.66792002652
161,232347.90814009472
726,161925.9031892362
845,208744.02750715805
947,246521.2295135235
2232,103598.53086132428
2563,139526.6337069771
2299,128786.4296688513
211,74361.59195748891
605,147090.67655627243
1478,198258.41936324994
2247,286636.799555004
2274,191165.37325073747
2869,196717.5074243369
967,208646.04135347612
2656,127380.04942680533
667,188846.04056260257
1042,113798.86174428673
2023,142896.74700223326
2447,403274.4884194234
2055,126981.22156258937
2275,311776.680316554
2204,165351.30304470425
1563,289774.1847458682
483,192195.3045429737
796,131261.35485259903
1526,155937.8443562866
2042,132816.29404181082
442,337074.69079519936
1693,310491.6666274725
1468,220128.0185200544
1430,190830.45406043538
2605,123424.69560223672
1529,198095.08334301118
335,139687.76674970723
1287,121675.2862423853
31,101376.62219497249
1785,310743.8661811828
82,160019.12595495622
2620,126698.33413030901
252,180076.41642886124
721,77291.77048836442
2165,182103.3084956237
2316,188840.80904270586
775,124775.39281064931
1558,93078.54650572332
17,208516.6343701146
1022,218474.44011556773
925,123814.47629160383
438,265432.8751758334
1270,130285.40310234623
1272,129779.93268846121
215,125963.82264883083
266,230277.0316110952
2402,262597.09501207917
1250,125586.41338909307
1984,112082.7015201752
1279,141367.39668591207
377,257655.0379572312
1252,109824.2235888699
2156,266556.000085899
499,314170.84636588435
1374,125522.133207562
2898,248599.4917085667
401,113743.30350458075
2721,139932.73181729633
2078,235131.62215202558
2589,129384.03653876884
1946,215374.75357408455
1334,134302.34183198816
2781,218812.268636804
431,403181.8945209685
576,189742.33478000876
1474,206685.13968738602
2254,142951.01819011252
2155,289957.1391855409
885,103847.22756955086
643,141393.85511843849
1944,131291.6846709655
480,196521.22462557282
2845,93479.74182858926
2387,315059.91569714656
2407,198965.5863579687
2527,165308.59044329973
2514,150087.32478555889
629,116586.88772995854
80,209844.07754178016
1876,138651.23526183038
1546,128918.20314973625
2518,168686.67529625888
2347,158171.41271660873
783,223164.86935883982
1322,46586.67268368013
194,90172.5377264373
1770,285297.0899673647
2143,136017.57495986484
1229,225391.71775719788
511,277841.71284558286
46,219195.23982773387
1348,152087.8413624782
2465,190921.18624946254
387,225741.1621984939
873,220453.4237343404
1918,121206.20781578848
2764,246680.41046089923
2184,129624.1020327655
934,146032.27707054358
1920,129986.06354197742
2631,140382.30296595616
1768,834496.7090990826
2040,132203.7547003625
1749,215047.8854944311
834,243620.91212240094
1457,227651.04665687738
79,123337.35041008083
2302,124446.73628749361
1817,143633.80982397427
2755,233648.4309598485
359,176873.30962145742
2059,114412.2523928939
2092,226826.81760074574
2516,216242.76168653643
150,119232.64657497827
1656,120790.58409407434
83,91510.61563397651
2411,181645.9141492482
795,80368.05337158612
2312,223585.52033059762
2917,102128.41613082141
1624,178633.0955010897
2215,336423.9131678877
1211,151162.03545147955
1485,153345.1023222063
1024,168992.990119161
570,185387.45532875022
2874,150104.45394457315
700,136880.86878837014
2756,212601.04584083508
2022,193360.66379864578
583,234470.4853524481
2392,381331.9079473514
2424,179064.7174788843
212,95913.85773168216
736,124917.05865602483
1610,159066.66845902958
890,120215.76285060823
467,174254.69832249402
578,207782.25335608746
1747,188275.70087626603
1149,159061.13087992018
2758,253443.74140627243
857,138195.72552467976
2219,253960.74715429504
733,80175.24660291657
2909,121352.53382291952
1798,247603.30124519346
235,133900.15006865578
2366,130044.75840484082
1027,125983.83600292569
1195,137287.31014634206
1303,65518.458143503485
148,181330.28521202767
608,153201.47498539643
2515,190056.2966661809
821,274258.19263126986
2500,256768.53073577446
745,115360.68255510741
741,118927.60164483149
1611,110607.05285673955
2532,129976.20747101001
1081,222833.32217733425
1692,470397.9011075797
2520,161712.75882290796
276,106108.04607808663
1992,133928.99605609127
663,60370.56192449491
418,129579.07084706749
1733,194585.03639889718
2359,146868.75387117316
253,182635.54122467487
1518,180387.83743273455
2035,143070.0701764044
2919,84699.78899211604
1540,246745.43769658348
2120,143069.6785686259
1674,170586.10165018804
256,145081.2632047006
2361,109663.25058531236
978,93638.95433420483
2280,148888.83309433848
2095,214121.4819388848
1709,328432.5390722991
2801,250732.70359073035
1246,120952.30175986927
2373,104952.57878134638
1055,280220.63931285136
2017,122913.95170245678
1099,247948.68689762877
1344,90494.1227850159
835,191654.23927048856
1117,211934.47272448792
2043,93515.2329173484
2085,122626.31599514278
410,146681.8008065515
2650,115547.32288905307
2867,170051.63408139226
1668,116922.83029175067
1161,160150.94880344984
2122,172099.680580463
2539,149098.44238949617
1047,137401.41332141394
1445,126402.85924554059
541,125909.06950646112
569,213545.2980669969
1276,114635.62153679306
918,140758.91468638243
326,162084.4825301452
1936,130351.78243810174
895,95615.244331147
257,136098.39053361726
1241,177485.5875014825
1545,125944.8091856849
1189,171975.47668392654
270,143359.31307124408
2066,162517.1580659854
693,122643.0022166754
1259,130552.91431920542
2916,145520.81958305874
2321,310628.21928433893
1977,83813.08277026798
1895,145508.2257882082
1240,168809.89832255268
85,144340.62535137509
1823,119148.33995423399
825,306958.5431254659
110,219433.30652688374
697,123219.96301614666
2297,114401.33061604571
1231,133862.47613246788
1355,125441.61518934547
968,342682.62176385487
584,213607.60156321162
1315,122797.29570666041
1606,144024.14635833833
206,89045.6124479075
1685,365719.191811458
2016,135760.48167034733
869,200715.95417869597
2135,125162.38458923096
2346,184436.6164661791
2430,225876.92047507456
2198,70415.96090412702
2652,121457.25972924716
27,114288.35936720074
241,166462.1907199553
906,127227.22786868042
1506,115070.43229545743
2098,408934.4126446753
1435,224136.80365281232
2213,122401.59869418219
1274,130531.40664414436
743,33165.05015383935
1737,199259.793987756
2797,281621.5511385064
2185,67242.76844735409
58,172140.27013398963
830,198554.54036058535
808,113444.77313310007
680,148538.25687036448
1153,103188.96884381199
1291,132590.57748685512
1818,138577.43977613183
2161,189221.00702318503
1883,113791.71846660237
350,357855.7103984389
2473,143231.98166532224
295,175707.0025083958
293,191662.49431153497
859,132596.4210557669
288,73735.87909618796
1578,141455.67478400568
102,165835.97256669006
2831,134827.86724334746
1030,155187.13549710292
2551,143527.1459338338
1286,155340.74922568168
958,334210.04767775466
776,126239.71903184263
72,228805.17423768964
2263,258489.27875101566
1866,158220.5844474584
2876,81571.0226606773
2146,249256.8134261378
103,162995.86935070626
1500,144321.14324579536
492,175040.2977927546
167,147074.58962417374
2597,126006.22028178973
2685,108453.30080841116
1035,158767.17254228386
1220,76991.2598366907
2602,158786.46674804486
2159,204882.0083631537
695,137348.79222983847
1109,256828.0152186315
640,163008.3365839466
1652,155843.63246852506
2090,165614.37405935524
1188,182536.09754843934
2345,235874.7727206856
1059,435185.7424411771
2751,230034.8994085168
128,195835.70715781185
1523,182850.58327485394
2925,174514.81684469536
2145,298331.8545236918
1121,213931.3345398225
566,231503.19240141354
565,237730.46013292082
1331,129516.23303610025
2928,122240.33772286715
156,140837.6195206936
797,144648.7903881988
327,101743.56430945016
2859,129443.74400409005
1453,121195.76277942561
1762,351833.54059032275
1868,204702.7444625107
1760,179688.39960701417
1113,231801.41769094128
1812,190618.95021859618
117,154884.31769883944
1142,210198.3288062352
2342,418030.56150823506
927,135473.39553322122
2478,183504.917523247
655,91380.1207971081
2064,121699.03132806502
369,254237.91279838549
2239,125223.76481993713
2732,216928.85472805408
1653,159979.80147735044
959,220215.70212723772
2395,355064.326887132
1412,105339.41482325048
271,243083.8800898698
1484,149035.90384282873
1497,149780.30200115437
552,153844.19905991305
2,121708.77593717966
1855,300463.8359608907
4,281323.09986124304
2292,156120.78938424366
134,142459.4594660131
646,105961.7383301381
42,277652.91961620876
532,219076.37891020236
713,103629.71311609696
2561,137819.1601585424
2360,134319.37401096977
1333,127047.91038492917
1407,231374.3129185091
2892,315955.37077022647
574,200672.98172262826
1227,172546.74336123714
2591,207564.54002885858
1476,209414.11559187362
1125,246287.05361273765
1446,140759.6652154416
408,114784.73924146146
1101,287745.77629220154
2251,182154.5142135111
373,177977.05018089252
2554,131627.29930915893
2382,240513.2203404685
1985,93384.32353915859
519,229059.88588050843
1093,188228.40329494787
864,250863.2488907273
2889,141443.57312019364
2308,181981.36631367073
986,154480.65582225157
1302,147380.1847596397
585,159091.9340147954
2708,152612.2277272938
147,130764.51226245207
1441,227479.48935581435
383,180929.39903908822
285,152130.0966624008
181,111110.68031617136
358,183138.8306555508
780,160780.2652341701
258,196033.8756050989
1865,211170.22734860086
692,120277.32528801034
2902,352842.5046574447
508,243972.10871868386
2638,146550.3389592324
36,135255.5057788435
611,169314.46427302808
2281,142793.10747325904
1678,118915.06320691427
1696,518673.5649026374
1557,91934.06762205808
2180,155874.65430702933
1726,208744.3912903714
951,146917.78614664378
267,222337.60054571138
2706,135229.9194529094
2221,242172.2756560839
1357,175378.45991139804
2901,335418.98278703995
347,175137.87420984512
2164,190327.99038191052
1586,320270.8912777413
360,157421.151778285
1769,240785.66532413778
2617,155332.8638785207
1879,148648.06453528922
991,234169.39726626713
1535,111848.31757796192
1191,143905.4298995482
1579,214485.25351729375
1882,144941.8873633801
1510,138324.87585962604
2196,122496.66655241846
1845,165880.0518897262
2336,398129.44524197944
942,93928.91427982035
861,133078.6688544467
2555,118074.67200781056
1392,158175.50991523394
2099,256073.28097724557
1543,118292.66544138688
948,297434.4090592752
1239,179044.84746336853
22,184392.0207905937
2796,234749.33693720706
2747,173437.06433853926
92,281960.65018945484
210,166402.9295893829
1858,198643.5075947878
2228,165029.52124739144
447,213163.65505467806
827,248544.7057339759
1649,208883.82090260545
682,129949.63152965985
2698,108837.3672454537
494,166892.72450645766
214,90051.3134160017
2441,246732.49279615132
2679,107910.78889418779
1336,114639.51606736732
465,177898.49229600007
1524,133486.02598571026
2543,113541.7698880114
631,136730.8608545935
2452,307962.1634000042
228,147290.4817383546
126,182593.95053259208
1092,225117.5833095425
1122,200779.17794677115
932,212059.25754432814
1980,82196.63292662114
2171,114742.77595510644
551,154752.97004943728
2768,150714.56156193017
2056,112619.06111971744
1159,377107.1478754725
2645,127532.04625485544
1174,162531.97292536075
2266,215683.64487269457
2462,440976.70427596755
1219,149265.95230931224
2922,184311.26794524048
118,138649.35927294008
474,168530.37567738985
2576,148276.64906869273
872,295928.2707554057
1077,199953.11151947218
1536,128530.23420055471
1150,120535.46640574449
2341,321262.8256438864
1931,151466.31215400426
2785,136072.88265754314
2538,127810.36579894878
597,209547.9685287621
464,171025.05461354766
233,229589.8810493185
2169,138815.5848974241
2123,174180.90211661652
1867,170888.31671010243
137,257765.93527297993
515,236506.72457072607
933,110725.31887118689
2784,161189.4557895794
972,166518.77530581874
599,163910.90135461805
2614,131772.41028169138
2582,135214.52412276078
1409,159955.84875082935
175,102105.29260040914
352,208711.296220772
976,103186.33967350112
2134,189697.40746191164
984,113322.77864822745
2396,362415.68657943356
1673,143185.74023485061
404,123864.36837781973
607,163386.43212238586
814,149968.60761162892
868,188713.31046843858
2271,187314.21860032226
1633,211564.755333013
337,104049.63302749324
2765,153290.513931536
1746,240706.69349784058
368,321141.8629992033
2806,204870.74052267376
1662,186192.75505795298
1234,215276.8657637683
1373,126470.78002311199
1672,114220.60059538463
1939,124740.1916554269
